message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,219411])";"30";"turtlesim3.sim";"1694799565.482838124";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,219411])";"30";"turtlesim2.sim";"1694799565.479823278";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,219415])";"30";"turtlesim1.sim";"1694799565.466656719";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,217874])";"30";"turtlesim3.sim";"1694799565.466654344";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,217874])";"30";"turtlesim2.sim";"1694799565.464561239";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,217879])";"30";"turtlesim1.sim";"1694799565.450550188";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,216338])";"30";"turtlesim3.sim";"1694799565.450556893";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,216338])";"30";"turtlesim2.sim";"1694799565.448188111";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,216343])";"30";"turtlesim1.sim";"1694799565.435285005";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,214802])";"30";"turtlesim3.sim";"1694799565.435251131";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,214802])";"30";"turtlesim2.sim";"1694799565.431712590";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,214806])";"30";"turtlesim1.sim";"1694799565.418994573";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,213265])";"30";"turtlesim3.sim";"1694799565.418962863";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,213265])";"30";"turtlesim2.sim";"1694799565.415988179";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,213270])";"30";"turtlesim1.sim";"1694799565.402715874";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,211729])";"30";"turtlesim3.sim";"1694799565.402613762";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,211729])";"30";"turtlesim2.sim";"1694799565.399679796";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,210193])";"30";"turtlesim3.sim";"1694799565.387344039";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,211734])";"30";"turtlesim1.sim";"1694799565.386520640";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,210193])";"30";"turtlesim2.sim";"1694799565.384128809";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,210197])";"30";"turtlesim1.sim";"1694799565.371389280";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,208656])";"30";"turtlesim3.sim";"1694799565.370426262";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,208656])";"30";"turtlesim2.sim";"1694799565.368765006";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,208661])";"30";"turtlesim1.sim";"1694799565.355386818";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,207120])";"30";"turtlesim3.sim";"1694799565.354439864";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,207120])";"30";"turtlesim2.sim";"1694799565.351920915";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,207124])";"30";"turtlesim1.sim";"1694799565.339078365";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11,120852, y=6,205583])";"30";"turtlesim3.sim";"1694799565.338414003";"./src/turtle.cpp:update:260"
